"","orgunitlevel3","periodid","orgunitlevel2","orgunitlevel5","HMIS.033b...Weekly.Epidemiological.Surveillance.Report...Reporting.rate","X033B.AP02..Total.OPD","X033B.CD01b..Malaria..diagnosed....Deaths","X033B.CD01a..Malaria..diagnosed.....Cases","X033B.MA01..Suspected.Malaria..Fever.","X033B.TR08..RDT..Malaria..Tests","X033B.TR01..ACT..Tablets.","X033B.MA02..Cases.Tested.with.RDT","X033B.MA03..RDT.Positive.Cases","X033B.MA04..Cases.Tested.with.Microscopy","X033B.MA05..Microscopy.Positive.Cases"
"22","Buliisa District","2022W40","Bunyoro",15,80,3367,NA,1838,3036,19570,341906,2886,2029,40,21
"23","Bundibugyo District","2022W40","Tooro",32,96.8,7768,NA,3278,5480,41421,2216600,5104,3447,334,156
"24","Bunyangabu District","2022W40","Tooro",36,87.9,3007,NA,766,1675,5010,65998,1564,783,104,64
"25","Bushenyi District","2022W40","Ankole",47,89.1,4702,NA,673,2304,53546,285208,2122,583,213,68
"26","Busia District","2022W40","Bukedi",37,55.9,4302,NA,1593,2861,21097,321417,2596,1765,163,72
"27","Butaleja District","2022W40","Bukedi",33,88,7830,NA,4133,4615,7828,1119314,2841,2338,1276,799
"28","Butambala District","2022W40","South Central",24,100,3251,NA,785,1655,18711,629783,1262,666,348,151
"29","Butebo District","2022W40","Bukedi",11,100,2233,NA,1603,2183,9257,213424,1802,1320,381,243
"30","Buvuma District","2022W40","North Central",14,100,1692,NA,419,873,13968,91458,786,372,87,43
"31","Buyende District","2022W40","Busoga",27,100,3303,NA,1480,3353,44942,135930,3005,1613,331,169
"32","Dokolo District","2022W40","Lango",24,100,4901,NA,2961,4207,16581,160239,4018,2750,198,131
"33","Fort Portal City","2022W40","Tooro",28,96.3,4481,1,378,1303,13824,809377,854,329,438,90
"34","Gomba District","2022W40","South Central",22,76.2,2253,NA,779,1432,5587,83096,1154,701,278,126
"35","Gulu City","2022W40","Acholi",50,97.6,10496,NA,1427,4218,20996,1499485,2934,1066,1538,384
"36","Gulu District","2022W40","Acholi",24,100,3288,NA,1683,2496,13816,198192,1834,1244,558,362
"37","Hoima City","2022W40","Bunyoro",22,65,2985,4,375,799,13253,1016238,581,241,186,87
"38","Hoima District","2022W40","Bunyoro",21,84.2,3029,NA,860,1375,15866,1056170,904,356,471,160
