"location_id","national","region","district","subcounty","facility","location_name","tx_stock","cases","year","week","q1","q3","iqr","potential_outlier"
"aP04v4fQbSd","MOH - Uganda","Lango","Dokolo District","Kangai Subcounty","Kangai HC III","Kangai HC III",838880,112,2022,4,3969.9,180792,176822.1,1
"aQTBvjHZAw9","MOH - Uganda","Tooro","Kabarole District","Busoro Subcounty","Kaswa HC III","Kaswa HC III",112400,50,2022,30,633.6,39760.0000000003,39126.4000000003,1
"aR0P43jcGZM","MOH - Uganda","Kigezi","Rukungiri District","Kebisoni Town Council","Garubunda HC II","Garubunda HC II",264674,3,2022,32,14666,26762,12096,1
"aTbmzoEvT5z","MOH - Uganda","South Central","Kalungu District","Kyamuliibwa Town Council","St. Joseph Of the Good Shepherd Kyamulibwa HC IV","St. Joseph Of the Good Shepherd Kyamulibwa HC IV",90000,23,2022,16,643.9,9702.5,9058.6,1
"aVEGxoGe7RS","MOH - Uganda","Bugisu","Mbale District","Bumbobi Subcounty","Naiku HC III","Naiku HC III",309600,140,2022,29,30,52141.4999999996,52111.4999999996,1
"aWtkpwtp9JE","MOH - Uganda","Kampala","Kampala District","Central Division (Kampala CCA)","Adventist Medical Centre HC III","Adventist Medical Centre HC III",212151,7,2022,4,96,20573.3249999991,20477.3249999991,1
"aXGjPN0urzK","MOH - Uganda","West Nile","Koboko District","Northern Division (Koboko MC)","Koboko Mission HC III","Koboko Mission HC III",100800,30,2022,29,43.95,26027.9999999998,25984.0499999998,1
"aXspFLZSsut","MOH - Uganda","Tooro","Kasese District","Karusandara Subcounty","Kanamba HC III","Kanamba HC III",73380,28,2022,44,237,23485.4999999998,23248.4999999998,1
"aZV3z5WZnpC","MOH - Uganda","Ankole","Isingiro District","Kashumba Subcounty","Kigaragara HC II","Kigaragara HC II",41120,6,2022,4,860,10926,10066,1
"aaNmTnGylMb","MOH - Uganda","South Central","Kalangala District","Mugoye Subcounty","St. Elizabeth Bumangi HC III","St. Elizabeth Bumangi HC III",30060,2,2022,29,979,6894.00000000004,5915.00000000004,1
"acJji9Ruj5T","MOH - Uganda","North Central","Kiboga District","Kiboga Town Council","Kiboga Hospital","Kiboga Hospital",1456200,57,2022,52,20825,451152.000000002,430327.000000002,1
"adofLhuj4HH","MOH - Uganda","North Central","Luwero District","Luwero Town Council","Bishop Ascili Hospital","Bishop Ascili Hospital",83700,14,2022,1,5949,25137,19188,1
"aerTdJxlEQh","MOH - Uganda","Ankole","Bushenyi District","Kyamuhunga Town Council","Kyamuhunga HC III","Kyamuhunga HC III",59400,53,2022,29,516,21937.4999999998,21421.4999999998,1
"ahzk9fymop1","MOH - Uganda","Teso","Kumi District","Ongino Subcounty","Kumi (Ongino) Hospital","Kumi (Ongino) Hospital",57930,25,2022,9,1101,13016.125,11915.125,1
"akKqxsRNtae","MOH - Uganda","Bukedi","Butebo District","Kabwangasi Subcounty","Kabwangasi HC III","Kabwangasi HC III",3024,81,2022,52,6,407.875,401.875,1
"al7HcOssdLZ","MOH - Uganda","Teso","Kumi District","Kanyum Subcounty","Kanyum HC III","Kanyum HC III",1110700,161,2022,13,2120,257976,255856,1
"alzpRLW14i8","MOH - Uganda","South Central","Kyotera District","Kirumba Subcounty","Kirumba HC III","Kirumba HC III",508320,58,2022,34,1791,163799.999999999,162008.999999999,1
"aq5a4s4nH5n","MOH - Uganda","South Central","Wakiso District","Gombe Division","Buwambo HC IV","Buwambo HC IV",61500,53,2022,37,454.3,21907.7499999999,21453.4499999999,1
"aqHWU5eZqU1","MOH - Uganda","Lango","Otuke District","Adwari Subcounty","Okwongo HC III","Okwongo HC III",725852,75,2022,7,6,247441.05,247435.05,1
"arSaR3TWlZL","MOH - Uganda","Teso","Kapelebyong District","Acowa Subcounty","Ajeleik HC II","Ajeleik HC II",557720,105,2022,36,112347,241553.999999999,129206.999999999,1
"arpYxB8jsNy","MOH - Uganda","West Nile","Maracha District","Nyadri Subcounty","St. Josephs Maracha Hospital","St. Josephs Maracha Hospital",30480,44,2022,15,357.7,3979.5,3621.8,1
"asZMKtqcAd9","MOH - Uganda","Acholi","Gulu City","Gulu East","Victory Medical Centre Clinic (Laroo) HC II","Victory Medical Centre Clinic (Laroo) HC II",6400,41,2022,48,34,834.5,800.5,1
"au6l6u0QySf","MOH - Uganda","Ankole","Isingiro District","Kashumba Subcounty","Juru HC III","Juru HC III",572240,215,2022,22,2232,103428,101196,1
