"district","year","week","total_rdt_stock","total_suspected","rdt_stock_weeks","rdt_stockout"
"Arua City",2022,21,11949,655,18.2427480916031,"Adequate stock"
"Arua City",2022,22,30650,479,63.9874739039666,"Overstock"
"Arua City",2022,23,19076,847,22.5218417945691,"Overstock"
"Arua City",2022,24,17124,959,17.8561001042753,"Adequate stock"
"Arua City",2022,25,12940,640,20.21875,"Overstock"
"Arua City",2022,26,13489,1022,13.1986301369863,"Adequate stock"
"Arua City",2022,27,13265,774,17.1382428940568,"Adequate stock"
"Arua City",2022,28,9643,607,15.8863261943987,"Adequate stock"
"Arua City",2022,29,12289,803,15.3038605230386,"Adequate stock"
"Arua City",2022,30,7434,920,8.0804347826087,"Adequate stock"
"Arua City",2022,31,64644,709,91.1763046544429,"Overstock"
"Arua City",2022,32,7456,971,7.67868177136972,"Understock"
"Arua City",2022,33,8535,1291,6.61115414407436,"Understock"
"Arua City",2022,34,16663,1351,12.3338267949667,"Adequate stock"
"Arua City",2022,35,16755,2183,7.67521759047183,"Understock"
"Arua City",2022,36,35022,2455,14.2655804480652,"Adequate stock"
"Arua City",2022,37,19735,2066,9.55227492739593,"Adequate stock"
"Arua City",2022,38,20624,2996,6.88384512683578,"Understock"
"Arua City",2022,39,18611,2932,6.34754433833561,"Understock"
"Arua City",2022,40,8939,1960,4.56071428571429,"Understock"
"Arua City",2022,41,19674,1864,10.5547210300429,"Adequate stock"
"Arua City",2022,42,27335,1688,16.1937203791469,"Adequate stock"
"Arua City",2022,43,25822,2210,11.6841628959276,"Adequate stock"
"Arua City",2022,44,20419,1596,12.7938596491228,"Adequate stock"
"Arua City",2022,45,22567,2467,9.14754762869882,"Adequate stock"
"Arua City",2022,46,13950,1709,8.16266822703335,"Adequate stock"
"Arua City",2022,47,13580,1962,6.92150866462793,"Understock"
"Arua City",2022,48,8742,2131,4.10229938995777,"Understock"
"Arua City",2022,49,9405,1646,5.7138517618469,"Understock"
"Arua City",2022,50,10620,1217,8.72637633525062,"Adequate stock"
"Arua City",2022,51,9038,870,10.3885057471264,"Adequate stock"
"Arua City",2022,52,5916,1268,4.66561514195584,"Understock"
"Arua District",2022,1,3767,669,5.63079222720478,"Understock"
"Arua District",2022,2,3023,485,6.23298969072165,"Understock"
"Arua District",2022,3,1584,526,3.01140684410646,"Understock"
"Arua District",2022,4,3482,620,5.61612903225806,"Understock"
"Arua District",2022,5,1011,746,1.35522788203753,"Understock"
"Arua District",2022,6,31949,993,32.1742195367573,"Overstock"
"Arua District",2022,7,24864,811,30.6584463625154,"Overstock"
"Arua District",2022,8,17063,784,21.7640306122449,"Overstock"
"Arua District",2022,9,18760,558,33.6200716845878,"Overstock"
"Arua District",2022,10,16069,566,28.3904593639576,"Overstock"
"Arua District",2022,11,19420,1353,14.3532889874353,"Adequate stock"
"Arua District",2022,12,7005,744,9.41532258064516,"Adequate stock"
"Arua District",2022,13,3438,316,10.879746835443,"Adequate stock"
"Arua District",2022,14,5358,623,8.60032102728732,"Adequate stock"
"Arua District",2022,15,14591,811,17.9913686806412,"Adequate stock"
"Arua District",2022,16,23275,1046,22.2514340344168,"Overstock"
"Arua District",2022,17,20063,927,21.6429341963323,"Overstock"
"Arua District",2022,18,28368,1100,25.7890909090909,"Overstock"
"Arua District",2022,19,12267,1233,9.94890510948905,"Adequate stock"
"Arua District",2022,20,38179,1048,36.4303435114504,"Overstock"
"Arua District",2022,21,3633,582,6.24226804123711,"Understock"
"Arua District",2022,22,18320,876,20.9132420091324,"Overstock"
"Arua District",2022,23,13795,790,17.4620253164557,"Adequate stock"
"Arua District",2022,24,20879,803,26.0012453300125,"Overstock"
"Arua District",2022,25,2292,332,6.90361445783132,"Understock"
"Arua District",2022,26,2592,339,7.64601769911504,"Understock"
"Arua District",2022,27,16763,281,59.6548042704626,"Overstock"
"Arua District",2022,28,28295,589,48.0390492359932,"Overstock"
"Arua District",2022,29,19428,2035,9.54692874692875,"Adequate stock"
"Arua District",2022,30,19887,1184,16.7964527027027,"Adequate stock"
"Arua District",2022,31,74665,1305,57.2145593869732,"Overstock"
"Arua District",2022,32,19503,946,20.6162790697674,"Overstock"
"Arua District",2022,33,27175,1022,26.5900195694716,"Overstock"
"Arua District",2022,34,17085,1025,16.6682926829268,"Adequate stock"
"Arua District",2022,35,26650,1206,22.0978441127695,"Overstock"
"Arua District",2022,36,24386,848,28.7570754716981,"Overstock"
"Arua District",2022,37,12023,992,12.1199596774194,"Adequate stock"
"Arua District",2022,38,18920,1006,18.8071570576541,"Adequate stock"
"Arua District",2022,39,31079,1223,25.4121013900245,"Overstock"
"Arua District",2022,40,12176,1040,11.7076923076923,"Adequate stock"
"Arua District",2022,41,23467,1012,23.1887351778656,"Overstock"
"Arua District",2022,42,16075,859,18.7136204889406,"Adequate stock"
"Arua District",2022,43,19671,825,23.8436363636364,"Overstock"
"Arua District",2022,44,13840,857,16.1493582263711,"Adequate stock"
"Arua District",2022,45,18292,824,22.1990291262136,"Overstock"
"Arua District",2022,46,5321,442,12.0384615384615,"Adequate stock"
"Arua District",2022,47,4767,747,6.38152610441767,"Understock"
"Arua District",2022,48,13761,1041,13.2190201729107,"Adequate stock"
"Arua District",2022,49,12598,749,16.8197596795728,"Adequate stock"
"Arua District",2022,50,10064,683,14.7349926793558,"Adequate stock"
"Arua District",2022,51,15475,353,43.8385269121813,"Overstock"
"Arua District",2022,52,20428,444,46.009009009009,"Overstock"
"Budaka District",2022,1,45576,5339,8.53643004307923,"Adequate stock"
"Budaka District",2022,2,46296,2488,18.6077170418006,"Adequate stock"
"Budaka District",2022,3,46095,3071,15.0097688049495,"Adequate stock"
"Budaka District",2022,4,28277,2184,12.9473443223443,"Adequate stock"
