"location_id","national","region","district","subcounty","facility","location_name","tx_stock","cases","year","week","q1","q3","iqr","potential_outlier"
"wHkTdzF4SpR","MOH - Uganda","Lango","Lira City","Adyel Division","Adyel HC III","Adyel HC III",1067041,29,2022,22,59196,154601,95405,1
"wpLf3ooCcJu","MOH - Uganda","South Central","Kyotera District","Kirumba Subcounty","St. Martins Domiciliary HC II","St. Martins Domiciliary HC II",2880,20,2022,16,43.6,972.1,928.5,1
"wse4djDrM7s","MOH - Uganda","Ankole","Ibanda District","Keihangara Subcounty","Rugaaga HC II","Rugaaga HC II",1020272,89,2022,21,86418.5,455224.5,368806,1
"x0OMMKUIxlF","MOH - Uganda","Teso","Kaberamaido District","Ochero Subcounty","Kaburepoli HC II","Kaburepoli HC II",771100,84,2022,31,38862,216052.999999998,177190.999999998,1
"x1UaYpPwx6c","MOH - Uganda","Acholi","Gulu City","Gulu West","Gulu Military Hospital","Gulu Military Hospital",2820058,43,2022,48,1736.4,895072,893335.6,1
"x4fr2px73Bq","MOH - Uganda","Lango","Oyam District","Otwal Subcounty","Acokara HC II","Acokara HC II",431740,251,2022,24,660,137340,136680,1
"x8BACC6rZLq","MOH - Uganda","Kampala","Kampala District","Makindye Division","Bulamu Treatment Centre HC II","Bulamu Treatment Centre HC II",192,8,2022,21,5,74.5499999999998,69.5499999999998,1
"xKKIcgLVH9x","MOH - Uganda","North Central","Kayunga District","Kayunga Town Council","Ntenjeru HC III","Ntenjeru HC III",708480,89,2022,6,480,23040,22560,1
"xYbII9uvF5o","MOH - Uganda","West Nile","Nebbi District","Parombo Town Council","Parombo HC III","Parombo HC III",2527580,NA,2022,7,1044,379344.999999994,378300.999999994,1
"xzB84Cpdcuk","MOH - Uganda","Ankole","Ibanda District","Nyamarebe Subcounty","Nyamarebe HC III","Nyamarebe HC III",70806960,NA,2022,30,55872,3738251.9999998,3682379.9999998,1
"yMnNUBDNr21","MOH - Uganda","West Nile","Yumbe District","Kei Subcounty","Kei HC III","Kei HC III",144000,91,2022,18,300,36180,35880,1
"yyYPcgZm4xP","MOH - Uganda","Bugisu","Sironko District","Buwasa Subcounty","Buwasa HC IV","Buwasa HC IV",30005000,43,2022,21,900,3974117.5,3973217.5,1
"zGTxryelOUN","MOH - Uganda","Tooro","Kyegegwa District","Rwentuha Subcounty","Ruhangire HC II","Ruhangire HC II",198000,83,2022,24,4932,55808.9999999993,50876.9999999993,1
"zQLP8CSHRfd","MOH - Uganda","Teso","Kapelebyong District","Akoromit Subcounty","Molly Eriki Maternity Home","Molly Eriki Maternity Home",27603,3,2022,12,1843.3,8825.52499999995,6982.22499999995,1
"zfMY9GBN26I","MOH - Uganda","Acholi","Agago District","Lukole Subcounty","Olung HC II","Olung HC II",648000,59,2022,12,10286,221290.199999999,211004.199999999,1
"zpmUD2YzPnn","MOH - Uganda","Bugisu","Kapchorwa District","Central Division (Kapchorwa MC)","Kapchorwa Hospital","Kapchorwa Hospital",1474420,7,2022,10,16164,409940.000000004,393776.000000004,1
"zy3p9lNo0dh","MOH - Uganda","Lango","Dokolo District","Dokolo Subcounty","Adagmon HC II","Adagmon HC II",353163,426,2022,44,1164.6,134244,133079.4,1
