"district","year","week","total_cases"
"Lyantonde District",2022,46,682
"Lyantonde District",2022,47,812
"Lyantonde District",2022,48,930
"Lyantonde District",2022,49,788
"Lyantonde District",2022,5,600
"Lyantonde District",2022,50,1598
"Lyantonde District",2022,51,1582
"Lyantonde District",2022,52,1402
"Lyantonde District",2022,6,649
"Lyantonde District",2022,8,482
"Lyantonde District",2022,9,393
"Oyam District",2022,1,2159
"Oyam District",2022,10,3496
"Oyam District",2022,11,3338
"Oyam District",2022,15,2845
"Oyam District",2022,17,4832
"Oyam District",2022,18,5283
"Oyam District",2022,2,1773
"Oyam District",2022,26,2647
"Oyam District",2022,27,4169
"Oyam District",2022,28,4141
"Oyam District",2022,3,1861
"Oyam District",2022,32,3992
"Oyam District",2022,33,3384
"Oyam District",2022,34,3381
"Oyam District",2022,35,3192
"Oyam District",2022,36,2964
"Oyam District",2022,37,2742
"Oyam District",2022,38,2732
"Oyam District",2022,39,2877
"Oyam District",2022,4,2114
"Oyam District",2022,40,2215
"Oyam District",2022,41,2888
"Oyam District",2022,42,2304
"Oyam District",2022,44,5425
"Oyam District",2022,45,5120
"Oyam District",2022,46,3195
"Oyam District",2022,47,3841
"Oyam District",2022,48,3153
"Oyam District",2022,5,2089
"Oyam District",2022,50,2178
"Oyam District",2022,51,1527
"Oyam District",2022,52,1239
"Oyam District",2022,6,2017
"Oyam District",2022,7,1523
"Oyam District",2022,8,3394
"Oyam District",2022,9,3882
"Ntungamo District",2022,27,1062
"Ntungamo District",2022,34,638
"Ntungamo District",2022,37,713
"Namayingo District",2022,10,2351
"Namayingo District",2022,13,2150
"Namayingo District",2022,19,2409
"Namayingo District",2022,20,695
"Namayingo District",2022,22,1219
"Namayingo District",2022,23,1832
"Namayingo District",2022,24,2135
"Namayingo District",2022,25,1599
"Namayingo District",2022,31,1914
"Namayingo District",2022,32,1183
"Namayingo District",2022,34,1757
"Namayingo District",2022,35,1719
"Namayingo District",2022,36,1602
"Namayingo District",2022,37,2005
"Namayingo District",2022,38,1901
"Namayingo District",2022,39,2598
"Namayingo District",2022,40,2037
"Namayingo District",2022,41,1872
"Namayingo District",2022,42,1179
"Namayingo District",2022,43,1529
"Namayingo District",2022,44,1821
"Namayingo District",2022,45,1670
"Namayingo District",2022,47,3182
"Namayingo District",2022,48,3045
"Namayingo District",2022,49,2943
"Namayingo District",2022,50,2578
"Namayingo District",2022,51,2130
"Namayingo District",2022,52,2133
"Amudat District",2022,13,132
"Amudat District",2022,14,242
"Amudat District",2022,15,109
"Amudat District",2022,4,248
"Amudat District",2022,41,364
"Amudat District",2022,42,511
"Mpigi District",2022,39,930
"Mpigi District",2022,45,811
"Mityana District",2022,1,1286
"Mityana District",2022,10,1296
"Mityana District",2022,11,1509
"Mityana District",2022,26,1526
"Mityana District",2022,27,1766
"Mityana District",2022,28,2009
"Mityana District",2022,3,1009
"Mityana District",2022,30,1448
"Mityana District",2022,31,1374
"Mityana District",2022,33,1645
"Mityana District",2022,34,1808
"Mityana District",2022,35,1612
"Mityana District",2022,36,1457
"Mityana District",2022,38,1969
"Mityana District",2022,39,2044
"Mityana District",2022,4,738
"Mityana District",2022,40,2206
"Mityana District",2022,42,2823
"Mityana District",2022,48,3548
"Mityana District",2022,49,3055
"Mityana District",2022,5,1089
"Mityana District",2022,50,1563
"Mityana District",2022,51,1396
"Mityana District",2022,6,1277
"Mityana District",2022,7,732
"Kamwenge District",2022,1,2394
"Kamwenge District",2022,10,2287
"Kamwenge District",2022,11,1391
"Kamwenge District",2022,12,1662
"Kamwenge District",2022,13,961
"Kamwenge District",2022,15,1079
"Kamwenge District",2022,16,1191
"Kamwenge District",2022,17,1459
"Kamwenge District",2022,18,1985
"Kamwenge District",2022,19,1772
"Kamwenge District",2022,2,1261
"Kamwenge District",2022,20,715
"Kamwenge District",2022,21,1167
"Kamwenge District",2022,22,1875
"Kamwenge District",2022,23,2503
"Kamwenge District",2022,24,2902
"Kamwenge District",2022,25,2536
"Kamwenge District",2022,26,3170
"Kamwenge District",2022,27,3088
"Kamwenge District",2022,28,2536
"Kamwenge District",2022,29,3399
"Kamwenge District",2022,3,1803
"Kamwenge District",2022,30,2472
"Kamwenge District",2022,31,2451
"Kamwenge District",2022,32,2085
"Kamwenge District",2022,33,1742
"Kamwenge District",2022,34,1766
"Kamwenge District",2022,35,1834
"Kamwenge District",2022,36,1662
"Kamwenge District",2022,37,2015
"Kamwenge District",2022,38,2233
"Kamwenge District",2022,39,2826
"Kamwenge District",2022,4,3429
"Kamwenge District",2022,40,3888
"Kamwenge District",2022,41,3850
"Kamwenge District",2022,42,3423
"Kamwenge District",2022,43,4325
"Kamwenge District",2022,44,4104
"Kamwenge District",2022,45,3411
"Kamwenge District",2022,46,2946
"Kamwenge District",2022,47,3150
"Kamwenge District",2022,48,3158
"Kamwenge District",2022,49,3140
"Kamwenge District",2022,5,3354
"Kamwenge District",2022,50,2577
"Kamwenge District",2022,51,795
"Kamwenge District",2022,52,887
"Kamwenge District",2022,6,3395
"Kamwenge District",2022,7,2397
"Kamwenge District",2022,8,2499
"Kamwenge District",2022,9,2178
"Rukungiri District",2022,1,1062
"Rukungiri District",2022,10,612
"Rukungiri District",2022,11,652
"Rukungiri District",2022,12,588
"Rukungiri District",2022,17,640
"Rukungiri District",2022,18,529
"Rukungiri District",2022,19,752
"Rukungiri District",2022,2,1236
"Rukungiri District",2022,21,330
"Rukungiri District",2022,22,343
"Rukungiri District",2022,23,613
"Rukungiri District",2022,24,927
"Rukungiri District",2022,25,875
"Rukungiri District",2022,26,868
"Rukungiri District",2022,27,656
"Rukungiri District",2022,28,901
"Rukungiri District",2022,29,781
"Rukungiri District",2022,3,1216
"Rukungiri District",2022,30,528
"Rukungiri District",2022,31,484
"Rukungiri District",2022,33,571
"Rukungiri District",2022,34,733
"Rukungiri District",2022,35,679
"Rukungiri District",2022,36,962
"Rukungiri District",2022,37,750
"Rukungiri District",2022,38,967
"Rukungiri District",2022,39,909
"Rukungiri District",2022,4,1173
"Rukungiri District",2022,40,875
"Rukungiri District",2022,44,929
"Rukungiri District",2022,6,759
"Rukungiri District",2022,8,959
"Rukungiri District",2022,9,900
"Buyende District",2022,11,1521
"Buyende District",2022,12,1402
"Buyende District",2022,13,1249
"Buyende District",2022,14,1191
"Buyende District",2022,15,1014
"Buyende District",2022,18,1188
"Buyende District",2022,19,1266
"Buyende District",2022,2,933
"Buyende District",2022,20,945
"Buyende District",2022,21,1296
"Buyende District",2022,22,1320
"Buyende District",2022,23,1701
"Buyende District",2022,24,2640
"Buyende District",2022,25,2550
"Buyende District",2022,26,2826
"Buyende District",2022,27,3198
"Buyende District",2022,28,2498
"Buyende District",2022,29,2109
"Buyende District",2022,3,615
"Buyende District",2022,30,2362
"Buyende District",2022,31,1548
"Buyende District",2022,32,1400
"Buyende District",2022,33,1554
"Buyende District",2022,34,1390
"Buyende District",2022,35,1456
"Buyende District",2022,36,1602
"Buyende District",2022,37,1887
"Buyende District",2022,38,1948
"Buyende District",2022,39,1245
"Buyende District",2022,40,1480
"Buyende District",2022,41,1734
"Buyende District",2022,42,1339
"Buyende District",2022,43,1669
"Buyende District",2022,44,1408
"Buyende District",2022,45,842
"Buyende District",2022,46,498
"Buyende District",2022,47,1764
"Buyende District",2022,48,2175
"Buyende District",2022,49,1953
"Buyende District",2022,5,779
"Buyende District",2022,50,1389
"Buyende District",2022,51,1101
"Buyende District",2022,6,674
"Buyende District",2022,7,570
"Buyende District",2022,8,1183
"Buyende District",2022,9,984
"Kasese District",2022,33,3433
"Bundibugyo District",2022,1,1788
"Bundibugyo District",2022,10,2148
"Bundibugyo District",2022,11,2392
"Bundibugyo District",2022,12,1928
"Bundibugyo District",2022,13,1530
"Bundibugyo District",2022,14,1715
"Bundibugyo District",2022,15,2840
"Bundibugyo District",2022,16,3209
"Bundibugyo District",2022,17,3964
"Bundibugyo District",2022,18,3709
"Bundibugyo District",2022,19,4543
"Bundibugyo District",2022,2,906
"Bundibugyo District",2022,21,3585
"Bundibugyo District",2022,22,3409
"Bundibugyo District",2022,23,3838
"Bundibugyo District",2022,24,2976
"Bundibugyo District",2022,25,2564
"Bundibugyo District",2022,26,2798
"Bundibugyo District",2022,27,3212
"Bundibugyo District",2022,28,3537
"Bundibugyo District",2022,29,2715
"Bundibugyo District",2022,3,1589
"Bundibugyo District",2022,30,3044
"Bundibugyo District",2022,31,2350
"Bundibugyo District",2022,32,1960
"Bundibugyo District",2022,33,2032
"Bundibugyo District",2022,34,2451
"Bundibugyo District",2022,35,1620
"Bundibugyo District",2022,36,1836
"Bundibugyo District",2022,37,1851
"Bundibugyo District",2022,38,1781
"Bundibugyo District",2022,39,3931
"Bundibugyo District",2022,4,4016
"Bundibugyo District",2022,41,3364
"Bundibugyo District",2022,43,2908
"Bundibugyo District",2022,44,1712
"Bundibugyo District",2022,49,1317
"Bundibugyo District",2022,5,3451
"Bundibugyo District",2022,6,3444
"Bundibugyo District",2022,7,3086
"Bundibugyo District",2022,8,2994
"Bundibugyo District",2022,9,2240
"Kalangala District",2022,1,321
"Kalangala District",2022,2,190
"Kalangala District",2022,22,110
"Kalangala District",2022,23,212
"Kalangala District",2022,24,209
"Kalangala District",2022,25,228
"Kalangala District",2022,26,135
"Kalangala District",2022,27,134
"Kalangala District",2022,29,136
"Kalangala District",2022,3,162
"Kalangala District",2022,30,114
"Kalangala District",2022,31,139
"Kalangala District",2022,32,99
"Kalangala District",2022,33,119
"Kalangala District",2022,34,95
"Kalangala District",2022,35,135
"Kalangala District",2022,36,65
"Kalangala District",2022,37,118
"Kalangala District",2022,38,113
"Kalangala District",2022,39,102
"Kalangala District",2022,40,102
"Kalangala District",2022,41,83
"Kalangala District",2022,42,104
"Kalangala District",2022,43,145
"Kalangala District",2022,44,111
"Kalangala District",2022,45,129
"Kalangala District",2022,46,145
"Kalangala District",2022,48,189
"Kalangala District",2022,49,134
"Kalangala District",2022,5,131
"Kalangala District",2022,6,123
"Kalangala District",2022,9,199
"Amuria District",2022,1,2041
"Amuria District",2022,10,1274
"Amuria District",2022,11,1348
"Amuria District",2022,12,1751
"Amuria District",2022,13,981
"Amuria District",2022,14,994
"Amuria District",2022,15,841
"Amuria District",2022,16,1152
"Amuria District",2022,17,1651
"Amuria District",2022,18,1916
"Amuria District",2022,19,2506
"Amuria District",2022,2,1683
"Amuria District",2022,20,885
"Amuria District",2022,21,705
"Amuria District",2022,22,698
"Amuria District",2022,23,1453
"Amuria District",2022,24,2931
"Amuria District",2022,25,2308
"Amuria District",2022,26,2006
"Amuria District",2022,27,1842
"Amuria District",2022,28,3183
"Amuria District",2022,29,2767
"Amuria District",2022,3,1395
"Amuria District",2022,30,2470
"Amuria District",2022,31,1847
"Amuria District",2022,32,2221
"Amuria District",2022,33,1828
"Amuria District",2022,34,1880
"Amuria District",2022,35,1912
"Amuria District",2022,36,2328
"Amuria District",2022,37,3264
"Amuria District",2022,38,3512
"Amuria District",2022,39,2719
"Amuria District",2022,4,1807
"Amuria District",2022,40,3098
"Amuria District",2022,41,2388
"Amuria District",2022,42,2109
"Amuria District",2022,43,2222
"Amuria District",2022,44,1973
"Amuria District",2022,47,1808
"Amuria District",2022,48,2290
"Amuria District",2022,5,1700
"Amuria District",2022,50,2393
"Amuria District",2022,52,1177
"Amuria District",2022,6,2170
"Amuria District",2022,7,1477
"Amuria District",2022,8,1894
"Amuria District",2022,9,1440
"Bunyangabu District",2022,1,469
"Bunyangabu District",2022,10,669
"Bunyangabu District",2022,11,507
"Bunyangabu District",2022,12,414
"Bunyangabu District",2022,13,279
"Bunyangabu District",2022,14,370
"Bunyangabu District",2022,15,200
"Bunyangabu District",2022,16,393
"Bunyangabu District",2022,17,698
"Bunyangabu District",2022,18,574
"Bunyangabu District",2022,19,794
"Bunyangabu District",2022,2,272
"Bunyangabu District",2022,20,76
"Bunyangabu District",2022,21,458
"Bunyangabu District",2022,22,588
"Bunyangabu District",2022,23,826
"Bunyangabu District",2022,24,892
"Bunyangabu District",2022,25,635
"Bunyangabu District",2022,26,766
"Bunyangabu District",2022,28,616
"Bunyangabu District",2022,29,812
"Bunyangabu District",2022,3,138
"Bunyangabu District",2022,30,586
"Bunyangabu District",2022,31,552
"Bunyangabu District",2022,32,377
"Bunyangabu District",2022,33,394
"Bunyangabu District",2022,34,545
"Bunyangabu District",2022,35,379
"Bunyangabu District",2022,36,307
"Bunyangabu District",2022,37,411
"Bunyangabu District",2022,38,318
"Bunyangabu District",2022,39,602
"Bunyangabu District",2022,4,798
"Bunyangabu District",2022,40,766
"Bunyangabu District",2022,41,861
"Bunyangabu District",2022,42,746
"Bunyangabu District",2022,43,668
"Bunyangabu District",2022,44,395
"Bunyangabu District",2022,47,334
"Bunyangabu District",2022,48,271
"Bunyangabu District",2022,49,335
"Bunyangabu District",2022,5,938
"Bunyangabu District",2022,50,200
"Bunyangabu District",2022,51,198
"Bunyangabu District",2022,52,226
"Bunyangabu District",2022,6,889
"Bunyangabu District",2022,7,782
"Bunyangabu District",2022,8,758
"Bunyangabu District",2022,9,609
