"location_id","national","region","district","subcounty","facility","location_name","rdt_stock","year","week","q1","q3","iqr","potential_outlier"
"VVGxBCCP2jE","MOH - Uganda","Teso","Amuria District","Abarilela Subcounty","Arute HC II","Arute HC II",36550,2022,37,1835.5,10698.125,8862.625,1
"VboJZXGJBI9","MOH - Uganda","Bugisu","Bulambuli District","Buluganya Subcounty","Buluganya HC III","Buluganya HC III",14000,2022,22,325,1875,1550,1
"Vi3ibjRtMzU","MOH - Uganda","South Central","Mpigi District","Buwama Town Council","Buwama HC III","Buwama HC III",39750,2022,22,58.25,7652.49999999985,7594.24999999985,1
"VqqQ72EHluD","MOH - Uganda","Teso","Kumi District","Mukongoro Subcounty","Kakures HC II","Kakures HC II",211788,2022,32,7980,28653.7499999997,20673.7499999997,1
"Vz3PDTnces1","MOH - Uganda","West Nile","Yumbe District","Kululu Subcounty","Komgbe Health Centre HC III","Komgbe Health Centre HC III",131750,2022,35,4885,24407.5,19522.5,1
"W4TBB6tIrzc","MOH - Uganda","Ankole","Rwampara District","Mwizi Subcounty","Bushwere HC II","Bushwere HC II",9000,2022,1,250,2960.00000000002,2710.00000000002,1
"WQAIuHuecnR","MOH - Uganda","Bukedi","Tororo District","Eastern Division (Tororo MC)","Kasoli HC II","Kasoli HC II",15742,2022,41,50.25,2081.25,2031,1
"WY3yVWM5gaL","MOH - Uganda","Teso","Soroti District","Gweri Subcounty","Gweri HC III","Gweri HC III",70200,2022,5,331.2,10100.875,9769.67499999999,1
"WuyEZ5vAK0Z","MOH - Uganda","North Central","Kiboga District","Kiboga Town Council","St. Marys Clinic Kiboga HC II","St. Marys Clinic Kiboga HC II",202,2022,24,2,34.875,32.875,1
"YkLkGLk2Xxz","MOH - Uganda","Lango","Otuke District","Alango Subcounty","Alango HC II","Alango HC II",76750,2022,12,497.5,13289.9999999998,12792.4999999998,1
"YmJQuEhzYcy","MOH - Uganda","Busoga","Kaliro District","Kaliro Town Council","Kaliro Police HC II","Kaliro Police HC II",33675,2022,15,230,3725,3495,1
"Yy2ZLOpEx2S","MOH - Uganda","Kigezi","Rukiga District","Kamwezi Subcounty","Kamwezi HC IV","Kamwezi HC IV",14000,2022,41,25,3605.00000000002,3580.00000000002,1
"Z6BzVrxa9xd","MOH - Uganda","Kigezi","Kabale District","Northern Division (Kabale MC)","Rugarama Hospital","Rugarama Hospital",1500,2022,16,50,350,300,1
"ZIqDFJwbapx","MOH - Uganda","Karamoja","Napak District","Ngoleriet Subcounty","Kangole HC III","Kangole HC III",18000,2022,49,25,5920.62499999999,5895.62499999999,1
"ZcC2OKgHUBc","MOH - Uganda","South Central","Mpigi District","Nkozi Subcounty","Nindye HC III","Nindye HC III",17000,2022,36,265,3496.25,3231.25,1
"Zd4l6BoQjP5","MOH - Uganda","Busoga","Namayingo District","Sigulu Subcounty","Bumalenge HC II","Bumalenge HC II",52500,2022,16,2037.5,16756.8749999999,14719.3749999999,1
"ZgwhRJCKYcN","MOH - Uganda","Lango","Kwania District","Nambieso Subcounty","Nambieso HC III","Nambieso HC III",70750,2022,47,1421,12987.5,11566.5,1
"a01R1qs6SXL","MOH - Uganda","Bunyoro","Kagadi District","Mabaale Subcounty","Kinyarugonjo HC III","Kinyarugonjo HC III",15250,2022,43,75,1700,1625,1
"a496gnJrej8","MOH - Uganda","Karamoja","Napak District","Iriiri Subcounty","Nabwal HC II","Nabwal HC II",77000,2022,20,92.2,29885.0000000001,29792.8000000001,1
"a8NfqlGUC18","MOH - Uganda","West Nile","Adjumani District","Ciforo Subcounty","Agojo HC II","Agojo HC II",31500,2022,3,350,9854.9999999999,9504.9999999999,1
"a8uXeqmtFD9","MOH - Uganda","Teso","Amuria District","Apeduru Subcounty","Ogolokwara (Ajaki) HC II","Ogolokwara (Ajaki) HC II",91800,2022,48,2375,21034.375,18659.375,1
"aC2mZFiai78","MOH - Uganda","Karamoja","Karenga District","Karenga Subcounty","Kidepo HC II","Kidepo HC II",2600,2022,21,42.5,984.999999999997,942.499999999997,1
"aCfdOhOH9ni","MOH - Uganda","Karamoja","Kotido District","Western Division (Kotido MC)","Kanawat HC III","Kanawat HC III",32500,2022,26,725,7412.5,6687.5,1
"aE0Yzd3YZQ9","MOH - Uganda","Acholi","Gulu City","Gulu East","Aywee HC III","Aywee HC III",35800,2022,13,50,10339.3749999999,10289.3749999999,1
"aFXkqZXMomP","MOH - Uganda","Bunyoro","Masindi District","Karujubu Division","Nyakitiibwa HC III","Nyakitiibwa HC III",27255,2022,21,72.5,4410.74999999997,4338.24999999997,1
"aFxXtxwMU7f","MOH - Uganda","North Central","Buikwe District","Nkokonjeru Town Council","Nkokonjeru Hospital","Nkokonjeru Hospital",3000,2022,35,52.5,450,397.5,1
"aG1YMQc0jte","MOH - Uganda","Kigezi","Kabale District","Kitumba Subcounty","Bwama HC III","Bwama HC III",12000,2022,38,525,3271.875,2746.875,1
"aHPLLEMdB4o","MOH - Uganda","Kigezi","Rukungiri District","Ruhinda Subcounty","Burombe HC III","Burombe HC III",1000,2022,4,2.3,30,27.7,1
